/Users/stefaniancu/Documents/Q-learning-CNN-in-Flappy-Bird-Environment/.venv/lib/python3.13/site-packages/gymnasium/utils/passive_env_checker.py:158: UserWarning: WARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/Users/stefaniancu/Documents/Q-learning-CNN-in-Flappy-Bird-Environment/.venv/lib/python3.13/site-packages/gymnasium/utils/passive_env_checker.py:158: UserWarning: WARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
...
Episode  3410 | Reward:    3.60 | Avg(100):    7.27 | Epsilon: 0.0626 | Best Avg Reward:    7.31 | Best Reward:   37.00 | Steps:   67883 | Ep Time:   0.85s | Avg100 Time:   1.78s | Total Time:   41.70m
Episode  3429 | Reward:    5.90 | Avg(100):    7.47 | Epsilon: 0.0622 | Best Avg Reward:    7.31 | Best Reward:   37.00 | Steps:   68883 | Ep Time:   0.99s | Avg100 Time:   1.89s | Total Time:   42.35m
Episode  3430 | Reward:    3.00 | Avg(100):    7.47 | Epsilon: 0.0622 | Best Avg Reward:    7.31 | Best Reward:   37.00 | Steps:   68899 | Ep Time:   0.62s | Avg100 Time:   1.88s | Total Time:   42.36m
Episode  3431 | Reward:    5.40 | Avg(100):    7.49 | Epsilon: 0.0622 | Best Avg Reward:    7.31 | Best Reward:   37.00 | Steps:   68942 | Ep Time:   1.78s | Avg100 Time:   1.89s | Total Time:   42.39m
Episode  3432 | Reward:   17.70 | Avg(100):    7.66 | Epsilon: 0.0621 | Best Avg Reward:    7.31 | Best Reward:   37.00 | Steps:   69043 | Ep Time:   3.84s | Avg100 Time:   1.91s | Total Time:   42.45m
Episode  3433 | Reward:    4.60 | Avg(100):    7.69 | Epsilon: 0.0621 | Best Avg Reward:    7.31 | Best Reward:   37.00 | Steps:   69058 | Ep Time:   0.60s | Avg100 Time:   1.90s | Total Time:   42.46m
Episode  3434 | Reward:    4.90 | Avg(100):    7.77 | Epsilon: 0.0621 | Best Avg Reward:    7.31 | Best Reward:   37.00 | Steps:   69082 | Ep Time:   0.96s | Avg100 Time:   1.91s | Total Time:   42.48m
Episode  3435 | Reward:    4.00 | Avg(100):    7.76 | Epsilon: 0.0621 | Best Avg Reward:    7.31 | Best Reward:   37.00 | Steps:   69131 | Ep Time:   1.89s | Avg100 Time:   1.91s | Total Time:   42.51m
Episode  3436 | Reward:    4.90 | Avg(100):    7.80 | Epsilon: 0.0621 | Best Avg Reward:    7.31 | Best Reward:   37.00 | Steps:   69147 | Ep Time:   0.64s | Avg100 Time:   1.91s | Total Time:   42.52m
Episode  3437 | Reward:   15.30 | Avg(100):    7.83 | Epsilon: 0.0620 | Best Avg Reward:    7.83 | Best Reward:   37.00 | Steps:   69233 | Ep Time:   3.41s | Avg100 Time:   1.92s | Total Time:   42.58m
Episode  3438 | Reward:   11.50 | Avg(100):    7.68 | Epsilon: 0.0620 | Best Avg Reward:    7.83 | Best Reward:   37.00 | Steps:   69284 | Ep Time:   2.02s | Avg100 Time:   1.88s | Total Time:   42.61m
