Episode   127 | Reward:   -1.30 | Avg(100):   -1.38 | Epsilon: 0.9537 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1559
Episode   128 | Reward:    0.40 | Avg(100):   -1.37 | Epsilon: 0.9535 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1566
Episode   129 | Reward:   -3.10 | Avg(100):   -1.34 | Epsilon: 0.9532 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1578
Episode   130 | Reward:   -1.30 | Avg(100):   -1.34 | Epsilon: 0.9528 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1590
Episode   131 | Reward:   -1.30 | Avg(100):   -1.34 | Epsilon: 0.9525 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1602
Episode   132 | Reward:   -1.30 | Avg(100):   -1.32 | Epsilon: 0.9521 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1614
Episode   133 | Reward:   -1.30 | Avg(100):   -1.32 | Epsilon: 0.9518 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1626
Episode   134 | Reward:   -1.30 | Avg(100):   -1.32 | Epsilon: 0.9514 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1638
Episode   135 | Reward:   -3.70 | Avg(100):   -1.35 | Epsilon: 0.9511 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1650
Episode   136 | Reward:   -1.30 | Avg(100):   -1.35 | Epsilon: 0.9508 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1662
Episode   137 | Reward:   -1.30 | Avg(100):   -1.33 | Epsilon: 0.9504 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1674
Episode   138 | Reward:   -3.00 | Avg(100):   -1.37 | Epsilon: 0.9500 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1688
Episode   139 | Reward:   -1.30 | Avg(100):   -1.37 | Epsilon: 0.9497 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1700
Episode   140 | Reward:   -1.30 | Avg(100):   -1.37 | Epsilon: 0.9493 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1712
Episode   141 | Reward:    2.20 | Avg(100):   -1.34 | Epsilon: 0.9489 | Best Avg Reward:   -1.42 | Best Reward:    4.40 | Steps:    1725
