Episode    12 | Reward:   -6.70 | Avg(100):   -5.82 | Epsilon: 0.0999 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:     156 | Ep Time:   0.39s | Avg100 Time:   0.40s | Total Time:    0.09m
Episode    13 | Reward:   -6.10 | Avg(100):   -5.84 | Epsilon: 0.0999 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:     168 | Ep Time:   0.37s | Avg100 Time:   0.40s | Total Time:    0.09m
Episode    14 | Reward:   -6.70 | Avg(100):   -5.90 | Epsilon: 0.0999 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:     180 | Ep Time:   0.38s | Avg100 Time:   0.40s | Total Time:    0.10m
Episode    15 | Reward:   -6.70 | Avg(100):   -5.95 | Epsilon: 0.0999 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:     192 | Ep Time:   0.38s | Avg100 Time:   0.39s | Total Time:    0.11m
Episode    16 | Reward:   -6.70 | Avg(100):   -5.99 | Epsilon: 0.0999 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:     204 | Ep Time:   0.39s | Avg100 Time:   0.39s | Total Time:    0.11m
Episode    17 | Reward:   -6.70 | Avg(100):   -6.03 | Epsilon: 0.0999 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:     216 | Ep Time:   0.37s | Avg100 Time:   0.39s | Total Time:    0.12m
Episode    18 | Reward:   -4.90 | Avg(100):   -5.97 | Epsilon: 0.0998 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:     228 | Ep Time:   0.37s | Avg100 Time:   0.39s | Total Time:    0.12m
Episode    19 | Reward:   -6.70 | Avg(100):   -6.01 | Epsilon: 0.0998 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:     240 | Ep Time:   0.38s | Avg100 Time:   0.39s | Total Time:    0.13m
Episode    20 | Reward:   -6.70 | Avg(100):   -6.04 | Epsilon: 0.0998 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:     252 | Ep Time:   0.37s | Avg100 Time:   0.39s | Total Time:    0.14m
Episode    21 | Reward:   -6.70 | Avg(100):   -6.07 | Epsilon: 0.0998 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:     264 | Ep Time:   0.37s | Avg100 Time:   0.39s | Total Time:    0.14m
Episode    22 | Reward:   -6.70 | Avg(100):   -6.10 | Epsilon: 0.0998 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:     276 | Ep Time:   0.38s | Avg100 Time:   0.39s | Total Time:    0.15m
Episode    23 | Reward:   -6.70 | Avg(100):   -6.12 | Epsilon: 0.0998 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:     288 | Ep Time:   0.38s | Avg100 Time:   0.39s | Total Time:    0.16m
Episode    24 | Reward:   -6.70 | Avg(100):   -6.15 | Epsilon: 0.0998 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:     300 | Ep Time:   0.38s | Avg100 Time:   0.39s | Total Time:    0.16m
Episode    25 | Reward:   -6.70 | Avg(100):   -6.17 | Epsilon: 0.0998 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:     312 | Ep Time:   0.39s | Avg100 Time:   0.39s | Total Time:    0.17m
Episode    26 | Reward:   -6.70 | Avg(100):   -6.19 | Epsilon: 0.0998 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:     324 | Ep Time:   0.38s | Avg100 Time:   0.39s | Total Time:    0.17m
Episode    27 | Reward:   -6.70 | Avg(100):   -6.21 | Epsilon: 0.0998 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:     336 | Ep Time:   0.38s | Avg100 Time:   0.39s | Total Time:    0.18m
Episode    28 | Reward:   -6.70 | Avg(100):   -6.22 | Epsilon: 0.0998 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:     348 | Ep Time:   0.37s | Avg100 Time:   0.39s | Total Time:    0.19m
Episode    29 | Reward:   -4.90 | Avg(100):   -6.18 | Epsilon: 0.0998 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:     360 | Ep Time:   0.37s | Avg100 Time:   0.39s | Total Time:    0.19m
Episode    30 | Reward:   -6.70 | Avg(100):   -6.20 | Epsilon: 0.0997 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:     372 | Ep Time:   0.38s | Avg100 Time:   0.39s | Total Time:    0.20m
Episode    31 | Reward:   -6.70 | Avg(100):   -6.21 | Epsilon: 0.0997 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:     384 | Ep Time:   0.38s | Avg100 Time:   0.39s | Total Time:    0.21m
Episode    32 | Reward:   -6.70 | Avg(100):   -6.23 | Epsilon: 0.0997 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:     396 | Ep Time:   0.37s | Avg100 Time:   0.39s | Total Time:    0.21m
Episode    33 | Reward:   -6.70 | Avg(100):   -6.24 | Epsilon: 0.0997 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:     408 | Ep Time:   0.37s | Avg100 Time:   0.38s | Total Time:    0.22m
Episode    34 | Reward:   -4.90 | Avg(100):   -6.20 | Epsilon: 0.0997 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:     420 | Ep Time:   0.41s | Avg100 Time:   0.39s | Total Time:    0.22m
Episode    35 | Reward:   -6.70 | Avg(100):   -6.22 | Epsilon: 0.0997 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:     432 | Ep Time:   0.40s | Avg100 Time:   0.39s | Total Time:    0.23m
Episode    36 | Reward:   -6.70 | Avg(100):   -6.23 | Epsilon: 0.0997 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:     444 | Ep Time:   0.39s | Avg100 Time:   0.39s | Total Time:    0.24m
Episode    37 | Reward:   -4.90 | Avg(100):   -6.19 | Epsilon: 0.0997 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:     456 | Ep Time:   0.38s | Avg100 Time:   0.39s | Total Time:    0.24m
Episode    38 | Reward:   -4.90 | Avg(100):   -6.16 | Epsilon: 0.0997 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:     468 | Ep Time:   0.40s | Avg100 Time:   0.39s | Total Time:    0.25m
Episode    39 | Reward:   -6.70 | Avg(100):   -6.17 | Epsilon: 0.0997 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:     480 | Ep Time:   0.37s | Avg100 Time:   0.39s | Total Time:    0.26m
Episode    40 | Reward:   -4.90 | Avg(100):   -6.14 | Epsilon: 0.0997 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:     492 | Ep Time:   0.37s | Avg100 Time:   0.39s | Total Time:    0.26m
Episode    41 | Reward:   -6.70 | Avg(100):   -6.16 | Epsilon: 0.0997 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:     504 | Ep Time:   0.44s | Avg100 Time:   0.39s | Total Time:    0.27m
Episode    42 | Reward:   -6.70 | Avg(100):   -6.17 | Epsilon: 0.0996 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:     516 | Ep Time:   0.39s | Avg100 Time:   0.39s | Total Time:    0.28m
Episode    43 | Reward:   -6.70 | Avg(100):   -6.18 | Epsilon: 0.0996 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:     528 | Ep Time:   0.37s | Avg100 Time:   0.39s | Total Time:    0.28m
Episode    44 | Reward:   -6.70 | Avg(100):   -6.19 | Epsilon: 0.0996 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:     540 | Ep Time:   0.38s | Avg100 Time:   0.39s | Total Time:    0.29m
Episode    45 | Reward:   -4.90 | Avg(100):   -6.17 | Epsilon: 0.0996 | Best Avg Reward:    -inf | Best Reward:   -1.30 | Steps:     552 | Ep Time:   0.37s | Avg100 Time:   0.39s | Total Time:    0.30m
